number,name,votes,electronic,abroad,mandate,district,party
661,Märt Meesak,1094,412,2,#N/A,9,Eesti Vabaerakond
652,Mati Ilisson,1075,386,0,#N/A,8,Eesti Vabaerakond
414,Mart Nutt,1068,484,7,#N/A,3,Erakond Isamaa ja Res Publica Liit
277,Ülle Rajasalu,1066,519,2,#N/A,2,Eesti Reformierakond
754,Jaanus Karilaid,1056,106,1,#N/A,5,Eesti Keskerakond
424,Andrus Saare,1054,365,1,#N/A,4,Erakond Isamaa ja Res Publica Liit
903,Jaanus Marrandi,1050,283,1,Kompensatsioonimandaat,8,Sotsiaaldemokraatlik Erakond
770,Valeri Korb,1046,90,1,Ringkonnamandaat,7,Eesti Keskerakond
778,Priit Toobal,1045,92,0,Kompensatsioonimandaat,8,Eesti Keskerakond
447,Einar Vallbaum,1044,283,1,#N/A,6,Erakond Isamaa ja Res Publica Liit
368,Meelis Mälberg,1040,338,1,#N/A,11,Eesti Reformierakond
439,Tõnis Palts,1033,351,8,#N/A,5,Erakond Isamaa ja Res Publica Liit
578,Külliki Kübarsepp,1032,545,5,Kompensatsioonimandaat,1,Eesti Vabaerakond
400,Erki Nool,1020,409,7,#N/A,2,Erakond Isamaa ja Res Publica Liit
275,Nikolai Novosjolov,1016,501,2,#N/A,2,Eesti Reformierakond
933,Rein Randver,1003,230,2,#N/A,11,Sotsiaaldemokraatlik Erakond
613,Alar Mutli,995,396,1,#N/A,4,Eesti Vabaerakond
322,Signe Kivi,995,387,1,#N/A,6,Eesti Reformierakond
682,Merle Jääger,986,385,3,#N/A,11,Eesti Vabaerakond
266,Tiina Lokk-Tramberg,977,568,1,#N/A,1,Eesti Reformierakond
348,Mati Raidma,959,397,1,#N/A,9,Eesti Reformierakond
735,Eduard Toman,953,118,0,#N/A,3,Eesti Keskerakond
728,Merike Martinson,946,106,0,#N/A,3,Eesti Keskerakond
222,Raivo Põldaru,919,186,0,Kompensatsioonimandaat,9,Eesti Konservatiivne Rahvaerakond
673,Peeter Volkonski,916,375,3,#N/A,10,Eesti Vabaerakond
839,Barbi-Jenny Pilvre-Storgard,909,483,8,#N/A,2,Sotsiaaldemokraatlik Erakond
324,Toomas Varek,907,278,2,#N/A,6,Eesti Reformierakond
706,Karin Tammemägi,881,66,0,#N/A,1,Eesti Keskerakond
913,Jüri Morozov,870,226,0,#N/A,9,Sotsiaaldemokraatlik Erakond
828,Marianne Mikko,859,402,9,#N/A,1,Sotsiaaldemokraatlik Erakond
905,Alo Aasma,857,269,1,#N/A,8,Sotsiaaldemokraatlik Erakond
315,Lauri Luik,855,313,3,Kompensatsioonimandaat,5,Eesti Reformierakond
352,Toomas Järveoja,853,295,0,#N/A,9,Eesti Reformierakond
932,Sirje Tobreluts,849,217,1,#N/A,11,Sotsiaaldemokraatlik Erakond
743,Vladimir Arhipov,838,63,0,#N/A,4,Eesti Keskerakond
788,Peeter Ernits,824,86,1,#N/A,9,Eesti Keskerakond
877,Hardi Volmer,818,307,0,#N/A,4,Sotsiaaldemokraatlik Erakond
923,Toomas Jürgenstein,817,381,4,#N/A,10,Sotsiaaldemokraatlik Erakond
402,Riina Solman,810,329,1,#N/A,2,Erakond Isamaa ja Res Publica Liit
359,Rait Maruste,808,344,5,#N/A,10,Eesti Reformierakond
490,Ene Ergma,798,321,5,#N/A,10,Erakond Isamaa ja Res Publica Liit
810,Alar Nääme,798,98,0,#N/A,11,Eesti Keskerakond
474,Andres Arrak,794,390,0,#N/A,9,Erakond Isamaa ja Res Publica Liit
853,Mart Meri,788,355,1,#N/A,3,Sotsiaaldemokraatlik Erakond
662,Elo Lutsepp,784,317,1,#N/A,9,Eesti Vabaerakond
369,Margus Lepik,782,291,1,#N/A,11,Eesti Reformierakond
910,Liina Raud,774,291,0,#N/A,8,Sotsiaaldemokraatlik Erakond
762,Toomas Väinaste,773,95,0,#N/A,6,Eesti Keskerakond
731,Helle Kalda,771,60,1,#N/A,3,Eesti Keskerakond
328,Deniss Boroditš,769,188,1,Ringkonnamandaat,7,Eesti Reformierakond
453,Anvar Samost,761,293,0,#N/A,7,Erakond Isamaa ja Res Publica Liit
331,Aivar Surva,754,222,0,#N/A,7,Eesti Reformierakond
339,Johannes Kert,752,322,2,Ringkonnamandaat,8,Eesti Reformierakond
851,Andrei Hvostov,740,329,2,#N/A,2,Sotsiaaldemokraatlik Erakond
861,Silver Meikar,738,315,5,#N/A,3,Sotsiaaldemokraatlik Erakond
360,Margus Hanson,733,243,1,#N/A,10,Eesti Reformierakond
672,Jüri Adams,720,312,3,Kompensatsioonimandaat,10,Eesti Vabaerakond
460,Tauno Võhmar,716,271,0,#N/A,7,Erakond Isamaa ja Res Publica Liit
341,Kristjan Kõljalg,714,302,0,#N/A,8,Eesti Reformierakond
338,Kalle Jents,704,218,0,#N/A,8,Eesti Reformierakond
799,Artjom Suvorov,699,59,0,#N/A,10,Eesti Keskerakond
203,Arno Kodu,693,200,0,#N/A,7,Eesti Konservatiivne Rahvaerakond
708,Marek Jürgenson,687,107,4,#N/A,1,Eesti Keskerakond
904,Ülle Lumi,684,125,1,#N/A,8,Sotsiaaldemokraatlik Erakond
491,Maire Aunaste,679,173,8,Kompensatsioonimandaat,11,Erakond Isamaa ja Res Publica Liit
304,Andre Sepp,679,232,0,#N/A,4,Eesti Reformierakond
774,Dmitri Dmitrijev,677,57,0,#N/A,7,Eesti Keskerakond
318,Urmas Sukles,661,250,2,#N/A,5,Eesti Reformierakond
330,Rein Aidma,655,227,0,#N/A,7,Eesti Reformierakond
917,Jaan Aiaots,654,168,1,#N/A,9,Sotsiaaldemokraatlik Erakond
880,Kalev Kotkas,649,243,0,#N/A,5,Sotsiaaldemokraatlik Erakond
370,Aivar Rosenberg,645,195,1,#N/A,11,Eesti Reformierakond
291,Paul-Eerik Rummo,642,332,7,#N/A,3,Eesti Reformierakond
773,Eevi Paasmäe,639,42,1,#N/A,7,Eesti Keskerakond
907,Arto Saar,621,219,0,#N/A,8,Sotsiaaldemokraatlik Erakond
244,Ants Taul,619,137,0,#N/A,11,Eesti Konservatiivne Rahvaerakond
306,Mart Võrklaev,615,340,0,#N/A,4,Eesti Reformierakond
945,Mark Soosaar,613,177,2,#N/A,12,Sotsiaaldemokraatlik Erakond
771,Eldar Efendijev,607,77,0,#N/A,7,Eesti Keskerakond
925,Gea Kangilaski,595,303,7,#N/A,10,Sotsiaaldemokraatlik Erakond
906,Randel Länts,584,205,3,#N/A,8,Sotsiaaldemokraatlik Erakond
428,Mari-Ann Kelam,581,270,4,#N/A,4,Erakond Isamaa ja Res Publica Liit
868,Raivo Uukkivi,578,192,2,#N/A,4,Sotsiaaldemokraatlik Erakond
482,Peeter Laurson,578,173,0,#N/A,10,Erakond Isamaa ja Res Publica Liit
704,Kalev Kallo,575,55,2,Kompensatsioonimandaat,1,Eesti Keskerakond
267,Ants Leemets,570,286,4,#N/A,1,Eesti Reformierakond
404,Lagle Parek,569,245,7,#N/A,2,Erakond Isamaa ja Res Publica Liit
894,Etti Kagarov,569,178,1,#N/A,7,Sotsiaaldemokraatlik Erakond
305,Enno Fels,566,204,2,#N/A,4,Eesti Reformierakond
850,Karl-Martin Sinijärv,565,283,5,#N/A,2,Sotsiaaldemokraatlik Erakond
362,Martin Parmas,563,167,2,#N/A,10,Eesti Reformierakond
349,Terje Trei,557,191,1,Kompensatsioonimandaat,9,Eesti Reformierakond
413,Siim Valmar Kiisler,556,241,0,#N/A,3,Erakond Isamaa ja Res Publica Liit
746,Natalia Malleus,555,61,1,#N/A,4,Eesti Keskerakond
308,Anneliis Kõiv,549,281,2,#N/A,4,Eesti Reformierakond
920,Jaan Sõrra,546,189,1,#N/A,9,Sotsiaaldemokraatlik Erakond
350,Reno Laidre,544,246,1,#N/A,9,Eesti Reformierakond
914,Priit Lomp,543,166,0,#N/A,9,Sotsiaaldemokraatlik Erakond
235,Indrek Kalda,542,101,0,#N/A,10,Eesti Konservatiivne Rahvaerakond
494,Ulla Preeden,539,174,0,#N/A,11,Erakond Isamaa ja Res Publica Liit
489,Tõnu Lehtsaar,538,184,4,#N/A,10,Erakond Isamaa ja Res Publica Liit
887,Kairit Pihlak,537,174,0,#N/A,6,Sotsiaaldemokraatlik Erakond
332,Aivar Saarela,535,183,0,#N/A,7,Eesti Reformierakond
327,Indrek Kesküla,532,151,4,#N/A,6,Eesti Reformierakond
766,Andres Sõber,530,91,1,#N/A,6,Eesti Keskerakond
319,Koit Kelder,529,237,0,#N/A,5,Eesti Reformierakond
243,Arno Sild,523,78,8,Kompensatsioonimandaat,11,Eesti Konservatiivne Rahvaerakond
345,Tõnu Juul,521,108,2,#N/A,8,Eesti Reformierakond
653,Arlet Palmiste,519,205,0,#N/A,8,Eesti Vabaerakond
372,Agu Kabrits,519,115,0,#N/A,11,Eesti Reformierakond
816,Toomas Paur,511,42,0,#N/A,11,Eesti Keskerakond
603,Sergei Metlev,509,252,0,#N/A,3,Eesti Vabaerakond
801,Igor Abarenkov,507,36,0,#N/A,10,Eesti Keskerakond
944,Aet Maatee,504,189,0,#N/A,12,Sotsiaaldemokraatlik Erakond
715,Toomas Vitsut,503,74,0,Kompensatsioonimandaat,2,Eesti Keskerakond
919,Asso Nettan,500,218,0,#N/A,9,Sotsiaaldemokraatlik Erakond
317,Kairi Uustulnd,497,269,0,#N/A,5,Eesti Reformierakond
865,Liisa Oviir,493,223,0,#N/A,4,Sotsiaaldemokraatlik Erakond
711,Anton Stalnuhhin,491,62,0,#N/A,1,Eesti Keskerakond
493,Ülo Tulik,490,150,0,#N/A,11,Erakond Isamaa ja Res Publica Liit
441,Kaido Kaasik,478,169,2,#N/A,5,Erakond Isamaa ja Res Publica Liit
830,Jaak Juske,476,234,0,#N/A,1,Sotsiaaldemokraatlik Erakond
429,Kaupo Rätsepp,475,210,1,#N/A,4,Erakond Isamaa ja Res Publica Liit
371,Andrus Seeme,472,169,0,#N/A,11,Eesti Reformierakond
637,Elmu Koppelmann,469,196,1,#N/A,6,Eesti Vabaerakond
473,Elle Kull,467,178,4,#N/A,9,Erakond Isamaa ja Res Publica Liit
818,Marko Šorin,464,46,0,#N/A,12,Eesti Keskerakond
467,Ene Saar,463,164,1,#N/A,8,Erakond Isamaa ja Res Publica Liit
437,Toomas Tõniste,462,216,0,#N/A,4,Erakond Isamaa ja Res Publica Liit
485,Mihhail Lotman,460,228,5,#N/A,10,Erakond Isamaa ja Res Publica Liit
290,Martin Kukk,456,211,0,Kompensatsioonimandaat,3,Eesti Reformierakond
764,Jelena Fjodorova,455,61,1,#N/A,6,Eesti Keskerakond
